gsid,formal_name,district,station_id,year,month,rainfall_sum
194,Butwal,Rupandehi,703,1999,7,444.3
194,Butwal,Rupandehi,703,1999,8,267.1
194,Butwal,Rupandehi,703,1999,9,165.9
194,Butwal,Rupandehi,703,1999,10,240.2
194,Butwal,Rupandehi,703,1999,11,0
194,Butwal,Rupandehi,703,1999,12,0
194,Butwal,Rupandehi,703,2000,1,0
194,Butwal,Rupandehi,703,2000,2,17.4
194,Butwal,Rupandehi,703,2000,3,16.6
194,Butwal,Rupandehi,703,2000,4,36.2
194,Butwal,Rupandehi,703,2000,5,165.4
194,Butwal,Rupandehi,703,2000,6,549
194,Butwal,Rupandehi,703,2000,7,242.4
194,Butwal,Rupandehi,703,2000,8,356.5
194,Butwal,Rupandehi,703,2000,10,39.5
194,Butwal,Rupandehi,703,2000,11,0
194,Butwal,Rupandehi,703,2000,12,0
194,Butwal,Rupandehi,703,2001,1,0
194,Butwal,Rupandehi,703,2001,2,14.5
194,Butwal,Rupandehi,703,2001,3,39.5
194,Butwal,Rupandehi,703,2001,4,0
194,Butwal,Rupandehi,703,2001,5,180.2
194,Butwal,Rupandehi,703,2001,6,275.4
194,Butwal,Rupandehi,703,2001,7,340.5
194,Butwal,Rupandehi,703,2001,8,583.9
194,Butwal,Rupandehi,703,2001,9,585.8
194,Butwal,Rupandehi,703,2001,10,106.7
194,Butwal,Rupandehi,703,2001,11,10.6
194,Butwal,Rupandehi,703,2001,12,0
194,Butwal,Rupandehi,703,2002,1,35.3
194,Butwal,Rupandehi,703,2002,2,33.3
194,Butwal,Rupandehi,703,2002,3,8.5
194,Butwal,Rupandehi,703,2002,4,37.5
194,Butwal,Rupandehi,703,2002,5,156.3
194,Butwal,Rupandehi,703,2002,6,387.1
194,Butwal,Rupandehi,703,2002,7,463.1
194,Butwal,Rupandehi,703,2002,8,399.9
194,Butwal,Rupandehi,703,2002,9,259.3
194,Butwal,Rupandehi,703,2002,10,20.4
194,Butwal,Rupandehi,703,2002,11,21.2
194,Butwal,Rupandehi,703,2002,12,0
194,Butwal,Rupandehi,703,2003,1,0
194,Butwal,Rupandehi,703,2003,2,30.8
194,Butwal,Rupandehi,703,2003,3,0
194,Butwal,Rupandehi,703,2003,4,22.5
194,Butwal,Rupandehi,703,2003,5,10.3
194,Butwal,Rupandehi,703,2003,6,501.6
194,Butwal,Rupandehi,703,2003,7,723.7
194,Butwal,Rupandehi,703,2003,8,292.4
194,Butwal,Rupandehi,703,2003,9,367.6
194,Butwal,Rupandehi,703,2003,10,14.7
194,Butwal,Rupandehi,703,2003,11,0
194,Butwal,Rupandehi,703,2003,12,6
194,Butwal,Rupandehi,703,2004,1,31.9
194,Butwal,Rupandehi,703,2004,2,0
194,Butwal,Rupandehi,703,2004,3,243.5
194,Butwal,Rupandehi,703,2004,4,29.6
194,Butwal,Rupandehi,703,2004,5,163.5
194,Butwal,Rupandehi,703,2004,6,377.5
194,Butwal,Rupandehi,703,2004,7,583.7
194,Butwal,Rupandehi,703,2004,8,391.5
194,Butwal,Rupandehi,703,2004,9,587
194,Butwal,Rupandehi,703,2004,10,205.6
194,Butwal,Rupandehi,703,2004,11,29.2
194,Butwal,Rupandehi,703,2004,12,0
194,Butwal,Rupandehi,703,2005,1,18.4
194,Butwal,Rupandehi,703,2005,2,22.6
194,Butwal,Rupandehi,703,2005,3,19.6
194,Butwal,Rupandehi,703,2005,4,3
194,Butwal,Rupandehi,703,2005,7,72.2
194,Butwal,Rupandehi,703,2005,8,792
194,Butwal,Rupandehi,703,2005,9,194.5
194,Butwal,Rupandehi,703,2005,10,373.4
194,Butwal,Rupandehi,703,2005,11,0
194,Butwal,Rupandehi,703,2005,12,0
194,Butwal,Rupandehi,703,2006,1,14
194,Butwal,Rupandehi,703,2006,2,0
194,Butwal,Rupandehi,703,2006,3,21.6
194,Butwal,Rupandehi,703,2006,4,35.6
194,Butwal,Rupandehi,703,2006,5,205.6
194,Butwal,Rupandehi,703,2006,6,409.8
194,Butwal,Rupandehi,703,2006,7,841.7
194,Butwal,Rupandehi,703,2006,8,560.5
194,Butwal,Rupandehi,703,2006,9,604.9
194,Butwal,Rupandehi,703,2006,10,74.8
194,Butwal,Rupandehi,703,2006,11,0
194,Butwal,Rupandehi,703,2007,2,83.7
194,Butwal,Rupandehi,703,2007,3,28
194,Butwal,Rupandehi,703,2007,4,5.6
194,Butwal,Rupandehi,703,2007,5,134.3
194,Butwal,Rupandehi,703,2007,6,128.5
194,Butwal,Rupandehi,703,2007,7,869.8
194,Butwal,Rupandehi,703,2007,8,474
194,Butwal,Rupandehi,703,2007,9,743.3
194,Butwal,Rupandehi,703,2007,10,65.1
194,Butwal,Rupandehi,703,2007,11,0
194,Butwal,Rupandehi,703,2007,12,0
194,Butwal,Rupandehi,703,2008,1,8.8
194,Butwal,Rupandehi,703,2008,2,1.8
194,Butwal,Rupandehi,703,2008,3,0
194,Butwal,Rupandehi,703,2008,4,5.5
194,Butwal,Rupandehi,703,2008,5,157.7
194,Butwal,Rupandehi,703,2008,6,586.3
194,Butwal,Rupandehi,703,2008,7,530
194,Butwal,Rupandehi,703,2008,8,652.6
194,Butwal,Rupandehi,703,2008,9,218.6
194,Butwal,Rupandehi,703,2008,10,12.6
194,Butwal,Rupandehi,703,2008,11,0
194,Butwal,Rupandehi,703,2009,1,0
194,Butwal,Rupandehi,703,2009,2,0
194,Butwal,Rupandehi,703,2009,3,0
194,Butwal,Rupandehi,703,2009,4,0
194,Butwal,Rupandehi,703,2009,5,176.5
194,Butwal,Rupandehi,703,2009,6,151
194,Butwal,Rupandehi,703,2009,7,522.3
194,Butwal,Rupandehi,703,2009,8,554.9
194,Butwal,Rupandehi,703,2009,9,136.3
194,Butwal,Rupandehi,703,2009,10,73.1
194,Butwal,Rupandehi,703,2009,11,0
194,Butwal,Rupandehi,703,2009,12,0
194,Butwal,Rupandehi,703,2010,1,6
194,Butwal,Rupandehi,703,2010,2,20.1
194,Butwal,Rupandehi,703,2010,3,0
194,Butwal,Rupandehi,703,2010,4,13.4
194,Butwal,Rupandehi,703,2010,5,130.4
194,Butwal,Rupandehi,703,2010,6,275.4
194,Butwal,Rupandehi,703,2010,7,940.7
